NOC,Sport,Prediction,NOC.1,Sport.1,2024,medal,Rate,,Number
ALB,Weightlifting,2,ALB,Weightlifting,0,0,0,,10
ALB,Wrestling,3,ALB,Wrestling,0.0462739592153853,0.13882187764615592,0.001742714502342919,,18
ALG,Artistic Gymnastics,6,ALG,Artistic Gymnastics,0.2797254161800995,1.678352497080597,0.014908770411170783,,14
ALG,Athletics,8,ALG,Athletics,0.2154761796286534,1.7238094370292272,0.008820296401969293,,48
ALG,Badminton,2,ALG,Badminton,0.2569164365584326,0.5138328731168652,0.008845056531435441,,5
ALG,Boxing,5,ALG,Boxing,0.1395375051623465,0.6976875258117325,0.009862955682338791,,13
ALG,Cycling,2,ALG,Cycling,0,0,,,
ALG,Cycling Road,2,ALG,Cycling Road,0.2039727931441899,0.4079455862883798,0.006279624270318676,,4
ALG,Fencing,8,ALG,Fencing,0.0326242506164036,0.2609940049312288,0.0034950009787709604,,12
ALG,Football,18,ALG,Football,0,0,0,,2
ALG,Gymnastics,10,ALG,Gymnastics,0,0,,,
ALG,Handball,16,ALG,Handball,0,0,0,,2
ALG,Judo,3,ALG,Judo,0.3907757703828382,1.1723273111485146,0.010431766713524249,,15
ALG,Rowing,2,ALG,Rowing,0.5614925842966665,1.122985168593333,0.009100465792137497,,14
ALG,Sailing,1,ALG,Sailing,0.3618266371973785,0.3618266371973785,0.003721687771986219,,10
ALG,Shooting,3,ALG,Shooting,0.3755124720707884,1.1265374162123654,0.010213356400690559,,15
MON,Table Tennis,1,MON,Table Tennis,0.007393943034849,0.007393943034849,9.215172810161907e-05,,5
ALG,Taekwondo,1,ALG,Taekwondo,0,0,0,,8
ALG,Tennis,1,ALG,Tennis,0,0,0,,5
ALG,Volleyball,11,ALG,Volleyball,0,0,0,,2
ALG,Weightlifting,1,ALG,Weightlifting,0.1210226902275415,0.1210226902275415,0.002768181949601679,,10
ALG,Wrestling,8,ALG,Wrestling,0.1003456824707166,0.8027654597657328,0.010077597511536487,,18
AND,Athletics,1,AND,Athletics,0.0002304335201608,0.0002304335201608,1.1790699743877558e-06,,48
AND,Boxing,1,AND,Boxing,0,0,0,,13
AND,Canoeing,1,AND,Canoeing,0,0,,,16
AND,Cycling,3,AND,Cycling,0,0,,,
AND,Judo,1,AND,Judo,0,0,0,,15
AND,Sailing,3,AND,Sailing,0,0,0,,10
AND,Shooting,1,AND,Shooting,0,0,0,,15
ANG,Athletics,1,ANG,Athletics,0.3173480574863178,0.3173480574863178,0.0016237896541757093,,48
ANG,Basketball,12,ANG,Basketball,0,0,0,,2
ANG,Beach Volleyball,2,ANG,Beach Volleyball,0,0,0,,2
ANG,Boxing,1,ANG,Boxing,0,0,0,,13
ANG,Canoeing,4,ANG,Canoeing,0,0,,,16
ANG,Handball,15,ANG,Handball,0.0243310341550682,0.364965512326023,0.004542795550700676,,2
ANG,Judo,1,ANG,Judo,0.1642848879812335,0.1642848879812335,0.0014618627491487174,,15
ANG,Rowing,1,ANG,Rowing,0.246779298407478,0.246779298407478,0.001999854162079517,,14
ANG,Sailing,3,ANG,Sailing,0.0579052446559602,0.1737157339678806,0.0017868107442769456,,10
ANG,Shooting,1,ANG,Shooting,0,0,0,,15
ANT,Athletics,2,ANT,Athletics,0.0050266248684893,0.0100532497369786,5.143993331187897e-05,,48
ANT,Boxing,1,ANT,Boxing,0,0,0,,13
ANT,Canoeing,3,ANT,Canoeing,0,0,,,16
ANT,Cycling,1,ANT,Cycling,0,0,,,
ANT,Sailing,1,ANT,Sailing,0.0248772824235066,0.0248772824235066,0.00025588353171827503,,10
ANZ,Athletics,7,ANZ,Athletics,0,0,0,,48
ANZ,Boxing,1,ANZ,Boxing,0,0,0,,13
ANZ,Rowing,10,ANZ,Rowing,0,0,0,,14
ANZ,Rugby,15,ANZ,Rugby,0,0,,,2
ANZ,Shooting,3,ANZ,Shooting,0,0,0,,15
ANZ,Tennis,1,ANZ,Tennis,0,0,0,,5
ARG,Archery,1,ARG,Archery,0.5347476028120941,0.5347476028120941,0.0059099937108736305,,5
